NewDepot -1 5.0,5.0 5
NewVehicle -1 9.586596245046971,0.16999866687968712 1 10
NewVehicle -1 7.067572672888104,7.932875242702534 1 10
NewVehicle -1 0.3735645043189595,3.092657495731456 1 10
NewVehicle -1 0.40713068795099505,7.678838159167332 1 10
NewVehicle -1 5.81966338253811,9.77410586973465 1 10
NewParcel -1 8.304469331297216,2.810684935236214 9.529645051273185,4.1299644252991765 0 1 4086/15913=295155/306982
NewParcel -1 1.6285589701864167,5.570579673809204 3.0767687543664457,0.14199483800586776 0 1 1719/18280=239987/256548
NewParcel -1 6.020125547177361,2.283665419628793 9.639028601267126,7.0960248699396375 0 1 1276/18723=267301/284748
NewParcel -1 3.452552905116227,9.816854012776123 0.6327824568096796,1.774713636685209 0 1 6883/13116=270791/277024
NewParcel -1 4.427907208831781,1.6625125614738767 5.038005904932536,0.9968765119224765 0 1 5837/14162=213593/221918
NewParcel 839305 4.427956550776916,9.626205417583837 4.525004891188226,9.926414774973418 0 1 845091/853518=1108375/1116802
NewParcel 1680543 2.8627242471168355,9.851276814916428 7.533577910874842,1.526156145992461 0 1 1688160/1692925=1917297/1922062
NewParcel 2385109 4.928140928535976,1.53709188531434 2.6924432791154294,2.360634912102774 0 1 2393595/2396622=2600522/2603549
NewParcel 3160384 6.818519934307357,3.013635360997272 7.666711364281057,4.416890769541881 0 1 3167961/3172806=3385397/3390242
NewParcel 3987391 0.9910037765902446,1.4857058418675628 7.440059871495166,7.101016578362172 0 1 3996062/3998719=4204626/4207283
NewParcel 4676673 6.249953374309573,7.933973812368764 5.629745354996224,1.7450785854909057 0 1 4684359/4688986=4949156/4953783
NewParcel 5456105 8.940348301131177,7.524458879322093 5.74851545064273,4.600977747162641 0 1 5459711/5472498=5753287/5766074
NewParcel 6138913 4.039256792556629,8.37799574651014 1.8274811416911596,6.79781009015384 0 1 6147590/6150235=6436570/6439215
NewParcel 6914662 7.434441148948546,4.051245962054711 0.3140152627644577,2.239292135129365 0 1 6915947/6933376=7214037/7231466
NewParcel 7650552 3.1791573540159224,7.580821005550435 7.658736778659058,6.917811631210647 0 1 7652953/7668150=7893394/7908591
NewParcel 8484858 2.0122161101923277,7.442076656727458 0.5056448822396875,5.621665527255869 0 1 8488862/8500853=8744810/8756801
NewParcel 9238892 9.932362247791346,8.274145926238411 7.899465353796349,4.51205161294385 0 1 9244266/9253517=9525952/9535203
NewParcel 9968405 8.116040379924335,1.722765796477177 7.42426987335148,0.5463710612862183 0 1 9969054/9987755=10251991/10270692
NewParcel 10619870 7.967605622710102,5.252467362704625 9.687434677099413,1.224408678188561 0 1 10628425/10631314=10917301/10920190
NewParcel 11451608 7.591043303953763,9.279687677126901 8.062996343739663,0.6339504003651442 0 1 11454304/11468911=11662591/11677198
NewParcel 12224280 8.472259683574098,5.4783670002427645 3.108470729357177,0.27240298458272805 0 1 12232595/12235964=12458312/12461681
NewParcel 12959765 3.661007087416035,1.6095938599248705 3.5691955933258726,5.620975504043891 0 1 12968680/12970849=13272113/13274282
NewParcel 13711996 1.241505105198496,0.7268606539760403 8.384261667289898,1.9479891595072907 0 1 13715632/13728359=13955231/13967958
NewParcel 14487854 9.380820285658807,5.108491973107977 6.6080904000189715,5.317872860286931 0 1 14491652/14504055=14749695/14762098
NewParcel 15200751 1.744067544265805,7.7688084545892835 4.66172663196509,7.282412647349769 0 1 15205253/15216248=15435265/15446260
NewParcel 15934055 4.565494896998988,6.899588119992833 2.8279034637415057,4.230811445078252 0 1 15938738/15949371=16192051/16202684
NewParcel 16636054 9.164514661060036,1.0933882308067444 5.40394526267127,4.875128033480996 0 1 16642574/16649533=16881791/16888750
NewParcel 17462686 6.195743704589514,5.700290583914503 1.4265692753758918,1.847651652912382 0 1 17465286/17480085=17747812/17762611
NewParcel 18128780 0.4221150666912421,3.1696306730052815 5.382650374941111,5.886780164508817 0 1 18135515/18142044=18350709/18357238
NewParcel 18823104 7.300122412250034,2.7282769906812465 9.820008293043239,3.5879585509314396 0 1 18824927/18841280=19093807/19110160
NewParcel 19487025 5.166261952525279,7.247017842584869 4.272283728218205,2.1962473942565675 0 1 19492691/19501358=19789539/19798206
NewParcel 20151143 9.313732625453813,7.646623810958195 7.411962606150963,7.41707535888887 0 1 20154274/20168011=20384849/20398586
NewParcel 20968764 6.748457154987813,7.695143611486092 1.8456130205222687,2.7217473279952853 0 1 20969317/20988210=21240800/21259693
NewParcel 21779638 2.913488136162403,4.547998575109004 3.4653956949123685,1.1242616997940358 0 1 21785427/21793848=22028597/22037018
NewParcel 22481887 4.170858710480663,2.882437149441741 9.770912270781203,2.9060063315284146 0 1 22486695/22497078=22741235/22751618
