NewDepot -1 5.0,5.0 5
NewVehicle -1 6.04271871026016,1.5722879677521484 1 10
NewVehicle -1 1.3246595511311765,4.463403154294353 1 10
NewVehicle -1 6.7149257774493964,6.498137247008257 1 10
NewVehicle -1 4.8971522766211315,1.2719868595855965 1 10
NewVehicle -1 5.363047427416818,3.5939803574152007 1 10
NewParcel -1 5.656019309008757,5.378686587477346 7.687647247757415,9.573152655881383 0 1 7582/12417=304358/309193
NewParcel -1 9.870589150869199,5.449746598293492 3.5730817988622885,2.3724471327319474 0 1 2428/17571=238628/253771
NewParcel -1 0.957937757000098,5.631207112654817 8.248422193553209,7.9109469186130585 0 1 5647/14352=228814/237519
NewParcel -1 1.1362826741888576,3.0382847505953925 7.348495939916745,2.010287057907126 0 1 1337/18662=303667/320992
NewParcel -1 1.1218054443556447,0.6568288035276215 2.2859689619330457,9.383335356016305 0 1 2585/17414=261248/276077
NewParcel 1974904 0.394810186818253,7.046238598414605 3.052548858704962,1.9141334023783085 0 1 1984400/1985407=2241221/2242228
NewParcel 3945617 5.477291688286954,3.473329060657082 4.644625302672724,7.497314842999264 0 1 3946359/3964874=4157265/4175780
NewParcel 5897359 2.0425356108333603,1.974074470830981 7.030372805741234,8.968750474321247 0 1 5897836/5916881=6103647/6122692
NewParcel 7775262 8.977411664324908,0.9732454292176584 6.007127799946257,1.0689425186058832 0 1 7782952/7787571=8014686/8019305
NewParcel 9637393 0.38330586060004057,7.770036420854708 7.400350193794334,0.6747772928823015 0 1 9645943/9648842=9906319/9909218
NewParcel 11438226 2.6142858706464143,5.245496328463983 2.3642690112168685,3.0206568298306857 0 1 11443435/11453016=11681550/11691131
NewParcel 13229926 7.797807477762927,4.549571883924592 8.35452547985043,3.7918238464249 0 1 13232984/13246867=13506095/13519978
NewParcel 15091469 7.7832804387405305,8.025580046675957 2.843125333480536,9.472692109224848 0 1 15097402/15105535=15315688/15323821
NewParcel 16868270 4.96380092647877,9.129915946957434 9.34601391887838,0.8329916002530646 0 1 16874528/16882011=17151671/17159154
NewParcel 18827663 8.916367152439445,8.604816331077313 7.833584009222631,6.934546865339679 0 1 18832277/18843048=19116639/19127410
NewParcel 20608218 0.30588824808079673,8.661985817169912 4.094433565120237,9.541495788201903 0 1 20608956/20627479=20847105/20865628
NewParcel 22563542 5.998298905854269,9.43489882058207 5.1226804396919565,0.3167629253112203 0 1 22568975/22578108=22855238/22864371
NewParcel 24373867 1.8280942547498125,4.457592578480568 0.09915015114945525,5.687602318912443 0 1 24374251/24393482=24666954/24686185
NewParcel 26221388 1.9655954593150105,4.42776092907211 9.036749307265096,6.763017739265951 0 1 26221763/26241012=26458741/26477990
NewParcel 28097964 6.3292592505352925,1.011962263370686 3.660334025132983,4.185876540075943 0 1 28107864/28108063=28330811/28331010
NewParcel 29936453 9.988343740145677,4.95075450865357 7.5913888363487825,0.30252887797212247 0 1 29940103/29952802=30239250/30251949
NewParcel 31829609 1.0012443973135443,5.221569741976899 5.407829071791371,3.5327430410838545 0 1 31837495/31841722=32055089/32059316
NewParcel 33623132 5.634809335513239,8.517139877281801 2.6492354361055037,2.3227721393470313 0 1 33630305/33635958=33913287/33918940
NewParcel 35442103 2.409950545246815,0.7972868440258751 1.3378368208066016,8.564360889925972 0 1 35450576/35453629=35719835/35722888
NewParcel 37232705 8.91886044394915,5.171889520434833 8.08555282282165,2.8625108051286308 0 1 37234805/37250604=37540313/37556112
