NewDepot -1 5.0,5.0 5
NewVehicle -1 5.515502826389573,2.7423850492559088 1 10
NewVehicle -1 3.4124247816873954,2.684758847011529 1 10
NewVehicle -1 3.995704560701708,6.480618680138948 1 10
NewVehicle -1 7.545328312888792,5.755157342207192 1 10
NewVehicle -1 0.5096923637345641,5.774560182354419 1 10
NewParcel -1 2.879649503288567,6.278983312099209 1.3846201536908043,9.8836351798663 0 1 3221/16778=303034/316591
NewParcel -1 1.0300088543702957,1.0067854833250667 0.36059798601839943,9.235520824605741 0 1 6125/13874=224767/232516
NewParcel -1 6.481671845184787,1.378454868540746 2.188753223086829,9.665754616911572 0 1 4882/15117=287571/297806
NewParcel -1 4.946721006221939,5.221469365555622 2.689949206861033,6.5894626997417225 0 1 5930/14069=223342/231481
NewParcel -1 7.142876917122805,9.77973667367126 8.12023236176474,1.4841651115932886 0 1 7445/12554=272121/277230
NewParcel 705275 2.1885147563567955,3.49537836782679 0.34931326479865965,1.2272788347084473 0 1 707673/722876=965477/980680
NewParcel 1468890 8.81164546135833,7.839379630787203 2.0761535193820926,3.3998633159943035 0 1 1475655/1482124=1770246/1776715
NewParcel 2193003 1.2471465226752332,5.962305358799709 3.281798120628353,6.172818263225328 0 1 2200000/2206005=2425355/2431360
NewParcel 2958522 0.5174780624594877,8.360341960348785 5.9667152002703645,2.917891723976945 0 1 2963333/2973710=3175740/3186117
NewParcel 3803075 3.025680024469998,3.2112299354895057 9.408984613589235,5.2793604948720505 0 1 3807283/3818866=4097608/4109191
NewParcel 4482100 1.214407818188712,2.7068984642961977 6.638916535178073,8.033430045777882 0 1 4482867/4501332=4751828/4770293
NewParcel 5139820 6.330072407763556,9.484369378153866 2.7941642381754415,5.461916610875267 0 1 5147660/5151979=5439722/5444041
NewParcel 5836415 5.831143721187098,9.756487196036696 8.519391096530622,1.4667733907170644 0 1 5838231/5854598=6127644/6144011
NewParcel 6547213 0.4796834449302012,2.2440435680765236 4.07455650647572,8.15202537984295 0 1 6553306/6561119=6838681/6846494
NewParcel 7369270 8.655166153945416,4.510853777141089 2.3158832254584216,0.09967260339901696 0 1 7370185/7388354=7621902/7640071
NewParcel 8040232 7.929652979614183,0.8033513310449769 1.2135662798562308,4.06612530875385 0 1 8043933/8056530=8261571/8274168
NewParcel 8693901 6.4433825024997,7.996260158758174 9.070288696440834,6.3257366325066 0 1 8695950/8711851=8970803/8986704
NewParcel 9446474 9.119836590474373,8.745909772682943 8.104605177488898,2.3879878697226586 0 1 9455504/9457443=9696161/9698100
NewParcel 10126930 6.259347582717232,3.452753282892945 4.5632557707582775,6.314898347797567 0 1 10134868/10138991=10401699/10405822
NewParcel 10834597 4.550307892911554,5.1346542959575565 6.026474155998855,9.365214212220886 0 1 10835741/10853452=11043047/11060758
NewParcel 11626441 3.0370444833303045,3.8124989334608395 9.070350140525342,0.19194268771684286 0 1 11631640/11641241=11914097/11923698
NewParcel 12306162 9.083420698749968,9.509703845715489 2.9503104639806588,1.319794690201167 0 1 12307990/12324333=12610916/12627259
NewParcel 13006720 1.8712288804558774,5.467175487205742 7.469781900659774,9.129095871025791 0 1 13008700/13024739=13249565/13265604
NewParcel 13827418 3.4724346846576437,5.675286537370577 5.698094873563918,7.072730384561163 0 1 13834987/13839848=14096474/14101335
NewParcel 14606236 0.03433645107204564,3.324432258347574 4.7016952193395865,4.352679472244603 0 1 14609288/14623183=14862103/14875998
NewParcel 15377612 8.116703451718376,9.275727830411384 9.95272254178963,4.782716844464452 0 1 15384120/15391103=15600643/15607626
NewParcel 16185414 3.71995137379459,2.1534095312330024 1.5790201854076558,3.0638246670420086 0 1 16192767/16198060=16400525/16405818
NewParcel 16890373 4.043424603626371,4.160502960362152 3.1196372782797988,8.198890867082278 0 1 16895715/16905030=17132543/17141858
NewParcel 17630772 4.5128385246567895,9.219320355495086 5.949887801299269,6.27325104341489 0 1 17633779/17647764=17904441/17918426
NewParcel 18464736 6.115953557137064,2.538349382366288 5.040026313473892,7.327639347180705 0 1 18465925/18483546=18762838/18780459
NewParcel 19241975 0.5855370582125452,3.2070964134018407 4.211606258847489,3.5501063278732667 0 1 19246767/19257182=19485377/19495792
NewParcel 19922376 3.4686781790476817,3.920444814327777 1.5555792182166495,8.513471612163448 0 1 19925801/19938950=20158042/20171191
NewParcel 20578382 7.621518130677608,4.434094904655696 8.176201552704367,9.684869336310681 0 1 20587458/20589305=20794618/20796465
NewParcel 21387599 2.168457453457221,7.852643801558972 5.924808217982398,8.933952336843982 0 1 21388062/21407135=21617277/21636350
NewParcel 22041633 4.464903561359266,1.3518693543702354 2.287518035535464,8.26631518098447 0 1 22042844/22060421=22339314/22356891
NewParcel 22766669 5.102621273579384,5.436780924067612 3.09093161536944,0.5086991357662451 0 1 22773179/22780158=23073117/23080096
NewParcel 23570849 8.496747444031254,8.337000842451388 6.189884651934742,7.172543553169804 0 1 23571239/23590458=23858428/23877647
NewParcel 24403025 4.093533965811716,4.641033717443117 1.8013202463586708,8.22244148031267 0 1 24406301/24419748=24698041/24711488
NewParcel 25227007 5.7378804847364515,9.770994199237203 7.648340965101124,0.976068516865578 0 1 25233968/25240045=25450084/25456161
NewParcel 25984948 9.23971953440414,4.399348511091805 9.578504958679709,7.862141164116951 0 1 25986595/26003300=26268060/26284765
NewParcel 26643042 0.6783172895348266,5.409235516611726 0.8204269250844809,5.262971527185664 0 1 26650249/26655834=26931873/26937458
NewParcel 27382245 0.4835503403604724,2.499930301408133 5.542747570976086,8.168178265589281 0 1 27390560/27393929=27695088/27698457
NewParcel 28116254 0.833224739551417,2.0390110490987814 4.879534664967487,7.866117449918145 0 1 28116838/28135669=28325684/28344515
NewParcel 28888516 6.405495861811607,2.262793009097457 6.086174791228917,2.399596125548923 0 1 28890892/28906139=29159630/29174877
NewParcel 29719572 1.0254543590508347,6.426590857696932 7.989823740593643,2.0124309745492774 0 1 29723990/29735153=29948619/29959782
NewParcel 30545558 5.244937868853913,3.006373771434819 8.39847308278221,4.313411672957629 0 1 30552440/30558675=30855320/30861555
NewParcel 31208241 2.3946360688350565,4.553373247647893 1.6326976531731285,6.384237965606388 0 1 31209310/31227171=31501567/31519428
NewParcel 32026473 3.1475443387547997,9.30320895977976 6.844147532707946,3.5579855108184733 0 1 32026831/32046114=32316907/32336190
NewParcel 32698494 1.132835485632887,2.141092607841617 0.28484336839999624,7.094668399558408 0 1 32701044/32715943=32956978/32971877
NewParcel 33354043 4.639207997484142,4.024673635980703 7.191342561842485,5.480457648198738 0 1 33357321/33370764=33593216/33606659
NewParcel 34094766 1.9467729048359284,1.466089236247734 1.4478336085632826,6.577120961779862 0 1 34102375/34107156=34347411/34352192
NewParcel 34930933 0.3265464328335199,0.1747813929308728 3.6922251470465928,0.34824284340660094 0 1 34935437/34946428=35156678/35167669
NewParcel 35642028 1.2466044881217209,9.462641970937206 1.0292909490765934,4.388791464246685 0 1 35648302/35655753=35936429/35943880
NewParcel 36358285 6.823966386826459,6.513049869187953 4.0149310772297175,6.984590401199 0 1 36360969/36375600=36650972/36665603
NewParcel 37179786 5.061267667620796,2.115362956141956 9.075615880094494,4.92826277428388 0 1 37186642/37192929=37473384/37479671
NewParcel 37919268 3.9072872355307062,1.9664256046639894 7.027072380493368,5.818205220271011 0 1 37926879/37931656=38148347/38153124
NewParcel 38674316 6.680386817819936,0.1406555119279307 0.8562754804544725,7.0671582660217735 0 1 38674728/38693903=38973663/38992838
NewParcel 39404142 3.893930585312467,3.8302733782861464 8.430808679108408,6.3469326987299555 0 1 39410684/39417599=39648187/39655102
NewParcel 40205699 9.02274284598613,0.9572341389061367 8.29965516263604,0.6958566338925076 0 1 40213374/40218023=40495966/40500615
NewParcel 40953397 8.249669950562334,4.758427717948339 9.249480758692743,4.015503995781369 0 1 40953882/40972911=41248385/41267414
