NewDepot -1 5.0,5.0 3
NewVehicle -1 8.030252392508238,9.130351682737706 1 100 1
NewVehicle -1 2.556231776248988,1.1979888064061683 1 100 1
NewVehicle -1 3.8335753944572835,5.936822301861272 1 100 1
NewParcel -1 1.218478587494456,5.914148646812888 2.881857634075231,5.145675678236329 1000 1 4164/15835=25060/36731
NewParcel -1 3.3157238964288616,7.949380394647166 9.026142744332827,3.8841629411400316 1000 1 8976/11023=32063/34110
NewParcel -1 4.205132268788887,3.2657690036522635 6.29580787405544,8.843272360820329 1000 1 967/19032=21729/39794
NewParcel 40841 2.7114617735814814,0.55288677790027 2.9229351135187684,3.537433781486704 1000 1 48892/52789=73769/77666
NewParcel 95789 6.21428232880655,1.9820242128388799 2.599126598529089,4.721530458770822 1000 1 100134/111443=118944/130253
NewParcel 150465 1.2883944008099601,1.520341521319788 8.32915696013813,2.4774824977531775 1000 1 152480/168449=168490/184459
NewParcel 199219 5.351578795045007,3.1149864782720793 0.7214373503912419,9.01765894813974 1000 1 207659/210778=231169/234288
NewParcel 257991 6.791559122617113,9.048587514859754 5.378315385990168,3.8312952660276087 1000 1 258328/277653=275458/294783
NewParcel 312648 0.7234576866136833,3.559029407920027 9.598506995426604,5.667459687021869 1000 1 319488/325807=335568/341887
NewParcel 363699 3.5418075099902335,3.9500748499036864 2.180725694638712,9.206127521154361 1000 1 371719/375678=393095/397054
NewParcel 406498 1.931181028862785,3.9193904534202506 2.61757038314724,6.768930761958306 1000 1 409399/423596=434388/448585
NewParcel 449224 4.499501227715682,6.330545914533033 8.468733832962132,7.921142392678497 1000 1 457692/460755=476817/479880
NewParcel 499169 6.6980947717993295,5.155542281203624 2.2025963149775887,2.316457343047149 1000 1 507888/510449=525466/528027
NewParcel 541023 2.192551050581889,8.814437231467078 1.2952637784316012,3.6361358125986634 1000 1 541274/560771=564811/584308
NewParcel 589094 6.348450040290659,9.638626362475328 7.876116443758248,4.974067263168889 1000 1 597533/600654=618319/621440
NewParcel 638559 9.996019248622733,6.6843448932172445 6.708927596937814,8.519321318092768 1000 1 644261/652856=661965/670560
NewParcel 689090 4.137786002421882,1.6229504956863805 2.797616285004646,4.887746329437554 1000 1 689988/708191=705958/724161
NewParcel 747359 8.763283478756147,9.934552625880336 2.4056975006138916,9.954177454942938 1000 1 753718/760999=772121/779402
NewParcel 793163 1.4348759206291894,2.1315472067576104 3.7784890104728897,9.53681910382461 1000 1 799767/806558=822602/829393
NewParcel 837100 3.8087644924979447,2.2386224070648906 6.357141172253184,4.785360389362916 1000 1 837334/856865=858780/878311
NewParcel 885918 6.755235566045151,3.2557956347593753 9.77355075743405,3.624390459089893 1000 1 889972/901863=907432/919323
NewParcel 944888 7.242215648094082,1.8310463713519753 6.415218642688424,6.103674203141534 1000 1 950811/958964=974443/982596
NewParcel 1004736 2.6461937725386098,6.869105189413415 3.849120061360114,4.0068494746414505 1000 1 1005117/1024354=1024543/1043780
NewParcel 1063872 0.654574599600426,9.302963058028432 5.893642583777401,7.570109824455711 1000 1 1072421/1075322=1088726/1091627
NewParcel 1104874 5.423525502978171,2.7546626940504115 3.6276592513532355,4.662436789911421 1000 1 1106222/1123525=1129271/1146574
NewParcel 1157364 3.1553779824738424,7.311934946354559 0.12579985632674817,0.27894044990662503 1000 1 1159909/1174818=1175417/1190326
NewParcel 1197639 2.7596485453063924,1.147241151378099 5.208977137766011,6.698873850626007 1000 1 1203304/1211973=1221016/1229685
NewParcel 1238609 9.761738723145628,7.205788246941686 8.999237814726758,7.159883516062849 1000 1 1244878/1252339=1268622/1276083
NewParcel 1291797 4.123380485663412,4.68907169668185 5.567995301692776,8.400055165556628 1000 1 1300449/1303144=1322747/1325442
NewParcel 1336373 5.138885153013372,7.56051710990802 0.46670992937336897,9.919323483563398 1000 1 1339828/1352917=1358160/1371249
NewParcel 1388374 9.071261397483829,4.799776875812588 8.429077315779686,0.3118018601187289 1000 1 1388609/1408138=1407335/1426864
NewParcel 1446494 7.6922636404848275,9.63224725792378 0.0337873578940695,3.520598041483889 1000 1 1452999/1459988=1474369/1481358
NewParcel 1498999 8.390434572468843,7.460367855665229 8.616919331731612,0.36667913452144485 1000 1 1501272/1516725=1520858/1536311
NewParcel 1549558 9.011202282382158,4.723265079115874 1.2230301321841908,3.203345124262631 1000 1 1556165/1562950=1572465/1579250
NewParcel 1597952 3.0930950536942303,3.4113037045025187 9.884004046172665,4.047876210857813 1000 1 1598183/1617720=1623065/1642602
NewParcel 1654857 3.6641388584562415,8.46210733695475 2.0147222080845504,9.041914839005926 1000 1 1660560/1669153=1676627/1685220
NewParcel 1698071 6.262495763558721,7.764612220583608 1.21461633122677,4.592146906490364 1000 1 1702248/1713893=1725116/1736761
NewParcel 1750784 4.345409845261371,6.997714253838236 2.2641691111017357,3.0428416093068544 1000 1 1756063/1765504=1773955/1783396
NewParcel 1800673 2.7505194967172644,4.030074767788968 6.605422392463465,8.231815229574691 1000 1 1804799/1816546=1824790/1836537
NewParcel 1841820 7.373602501047093,0.10764470177368035 7.095557805641995,3.7813801863620036 1000 1 1848819/1854820=1868452/1874453
NewParcel 1889647 1.7268119351217837,7.5554722125152205 3.3226102935405297,9.475841302855155 1000 1 1894359/1904934=1919295/1929870
NewParcel 1932269 3.5414697981498033,6.220354021699002 1.2723787132529374,3.577103664741006 1000 1 1932443/1952094=1955201/1974852
NewParcel 1979870 7.079477398802952,3.3808947185546865 3.6355944552466832,1.4299518625637342 1000 1 1984071/1995668=2005840/2017437
NewParcel 2036901 9.317407085296969,4.351534843971718 9.544411444494958,3.2085650674308077 1000 1 2037965/2055836=2054879/2072750
NewParcel 2090115 0.66733695986397,3.5071126432448563 5.027280627171436,6.155830936579404 1000 1 2092951/2107278=2110133/2124460
NewParcel 2138654 3.39849144839949,7.9545190473807805 7.971270444646294,9.167018700358565 1000 1 2147674/2149633=2168773/2170732
