NewDepot -1 5.0,5.0 4
NewVehicle -1 4.4921734005736464,7.567403670466271 1 100 1
NewVehicle -1 0.595620654000667,3.1222098580525524 1 100 1
NewVehicle -1 3.1654591232311913,2.730544123907027 1 100 1
NewVehicle -1 4.737940548541158,7.227177081116849 1 100 1
NewParcel -1 0.8471366632015587,1.4063037446995208 4.863993089837635,5.199740190281075 1000 1 2927/17072=18918/33063
NewParcel -1 9.079643814601244,5.968219557685104 4.712795324700094,7.319866950414047 1000 1 3610/16389=28279/41058
NewParcel -1 2.8966865421913712,1.8940235882084033 8.759400918642491,5.823629255543741 1000 1 2927/17072=21064/35209
NewParcel 53800 4.473641317751728,3.6692293164940883 6.532590285618042,8.610498877283764 1000 1 56027/71572=80249/95794
NewParcel 106880 2.0408845809822806,8.339710794853195 7.891752632895862,6.208645301231065 1000 1 112042/121717=130314/139989
NewParcel 147981 8.876846810273294,7.819311602418217 4.964285796624801,7.640707752286119 1000 1 151806/164155=173146/185495
NewParcel 189983 3.484486398302397,8.327726048448767 3.4064478889721816,2.2780970993800387 1000 1 191487/208478=208876/225867
NewParcel 247567 3.8024971663871154,3.2556515309306744 8.034392815687353,6.553957475090795 1000 1 249411/265722=272753/289064
NewParcel 292927 9.571421016590726,8.857698740445825 4.432381438440602,9.841776750428332 1000 1 296528/309325=312102/324899
NewParcel 351657 0.08123191252916273,1.5621254578823096 9.389725082708143,8.913709201232688 1000 1 352606/370707=373950/392051
NewParcel 402253 7.026951754638462,8.18645123814547 5.518029454109342,2.892671951742752 1000 1 409047/415458=425179/431590
NewParcel 449014 4.6988596469847,2.848021336142579 7.900296632542416,3.112279500355246 1000 1 453080/464947=473444/485311
NewParcel 489444 2.233860709311326,6.858577241707576 3.1234528344957013,4.798676944556071 1000 1 496883/502004=518378/523499
NewParcel 533582 5.154572876667839,0.39189927401215074 3.545857750235589,9.988334496410069 1000 1 539037/548126=558974/568063
NewParcel 574035 5.922696126681152,7.213583445006975 2.1513653069166097,3.595867705387464 1000 1 574529/593540=594324/613335
NewParcel 631790 5.733226823644527,6.262013795608467 5.8414924838786035,7.045943521221418 1000 1 633360/650219=651260/668119
NewParcel 674226 2.276079905851911,6.369593531761942 7.517261933357153,6.38333683709238 1000 1 676618/691833=693726/708941
NewParcel 718074 0.6916788486377101,2.9132981757533107 9.802279726737996,4.275197571327878 1000 1 722756/733391=745096/755731
NewParcel 771399 7.447080525392391,7.683612644289871 5.758611222866733,7.819593747477285 1000 1 775574/787223=795926/807575
NewParcel 814997 9.359191993287538,5.760912861019133 4.447016453050404,6.574389513363111 1000 1 819283/830710=835980/847407
NewParcel 874952 2.4916468475213547,5.688358061837172 1.6831095838841514,7.720525123590298 1000 1 884858/885045=900717/900904
NewParcel 934393 8.151899586428584,1.7303538791148088 8.841003032975665,7.773756410504737 1000 1 935661/953124=958707/976170
NewParcel 993852 5.715103768620681,9.505648712408606 5.055998787043892,2.7589199485186375 1000 1 999215/1008488=1017818/1027091
NewParcel 1035931 4.5013338201105,8.78412667553466 0.6778915952840159,1.2607849385668257 1000 1 1045790/1046071=1064322/1064603
NewParcel 1081315 9.43271321784934,9.736359851089567 2.3264438307603754,7.265554664850349 1000 1 1083304/1099325=1100398/1116419
NewParcel 1139513 7.697015240624056,1.4249802365701347 2.4005963201902913,2.2070790721721165 1000 1 1141867/1157158=1161837/1177128
NewParcel 1199016 6.144293127783442,3.8269382109955377 8.392976648514024,8.131842880642843 1000 1 1200146/1217885=1219090/1236829
NewParcel 1247901 1.6431065072938555,7.175704255398973 9.861267375968655,6.3967898174865745 1000 1 1249507/1266294=1271123/1287910
NewParcel 1307240 9.122904286354522,4.912481873679653 3.407999026822411,8.8140464141486 1000 1 1310783/1323696=1332865/1345778
NewParcel 1355990 4.529127364299658,9.03548956476924 8.520325742633046,0.6566085561381829 1000 1 1362286/1369693=1383381/1390788
NewParcel 1407379 2.417594564767447,9.136379718097764 9.621350619855168,7.439050285001258 1000 1 1416550/1418207=1433198/1434855
NewParcel 1463129 0.4147319431134122,8.912850122644754 2.1845615303865626,9.887322137674833 1000 1 1467102/1479155=1485597/1497650
NewParcel 1503176 5.270209685612052,6.446516781124504 3.2629379628733024,4.011697256019514 1000 1 1505378/1520973=1527919/1543514
NewParcel 1544894 7.728549811162312,7.0351076683989175 9.284295122287494,5.696929944078737 1000 1 1551766/1558021=1575393/1581648
NewParcel 1587131 5.946263900151807,9.868039047615248 6.46442545306844,1.723688258622349 1000 1 1593523/1600738=1611159/1618374
NewParcel 1640725 9.681088308026265,2.3344398691209056 1.6895997255217399,1.6353244909592746 1000 1 1646223/1655226=1662670/1671673
NewParcel 1698468 9.979874076562364,8.25268295992618 4.219991352539992,7.364043560954983 1000 1 1704135/1712800=1725799/1734464
NewParcel 1753828 1.5916983298381748,8.810489199319306 1.0655870449150928,0.030534298825581896 1000 1 1758822/1768833=1774465/1784476
NewParcel 1799072 7.832756826590977,7.504665549073131 1.3861435234980624,5.8311257963126275 1000 1 1804066/1814077=1824820/1834831
NewParcel 1839746 0.12960199726507415,2.8695365028309974 7.766756153191251,5.426528810921464 1000 1 1849016/1850475=1869401/1870860
NewParcel 1893805 6.967287404038068,5.28313898732533 4.720599440546235,3.7462280556117045 1000 1 1900337/1907272=1917980/1924915
NewParcel 1940019 9.468982728610788,6.6402345430694325 7.270403248295526,9.622585879163267 1000 1 1947934/1952103=1968176/1972345
NewParcel 1981599 3.3336207475900057,4.1812068055191975 4.960227425306202,7.16872071091502 1000 1 1987651/1995546=2010198/2018093
NewParcel 2037320 9.358138388592353,2.2659059374549284 9.149095352522327,3.3142221907097413 1000 1 2038202/2056437=2056460/2074695
NewParcel 2083746 7.270876083613379,8.381501104539957 3.938051711087457,8.412765091143743 1000 1 2088375/2099116=2108072/2118813
NewParcel 2128490 0.10269624619150375,2.173403613381779 3.582205345743177,9.335686262634875 1000 1 2134427/2142552=2156623/2164748
NewParcel 2175773 8.822383673300454,8.788325305825232 1.7393191769336436,6.9655852927968995 1000 1 2176381/2195164=2200919/2219702
NewParcel 2231864 9.462891306203153,0.3185320720886653 0.4065112384617431,2.5040125890933727 1000 1 2235761/2247966=2254709/2266914
NewParcel 2289327 7.464993182625196,1.6363570019667717 8.896628421597862,9.507306246811215 1000 1 2296178/2302475=2312773/2319070
NewParcel 2345310 6.4649064498589315,9.408033260228471 5.705855437864881,1.0646410387981153 1000 1 2351933/2358686=2369033/2375786
NewParcel 2390463 1.2524462828130478,5.575913515113527 8.624121698987533,4.032351857579426 1000 1 2398708/2402217=2421708/2425217
NewParcel 2431371 7.126274906066441,9.098132951318169 0.9398688497471286,4.738595020804474 1000 1 2434175/2448566=2456848/2471239
NewParcel 2480746 0.37280938350512605,2.234782174832848 4.0907400876078714,3.072406417876712 1000 1 2485241/2496250=2502924/2513933
NewParcel 2525926 7.095346170851295,0.16965158587649687 9.611756612558976,4.37122534764144 1000 1 2532428/2539423=2555448/2562443
NewParcel 2567572 0.11997163951747436,5.256609578482726 5.732539435312369,1.0209386291429912 1000 1 2570751/2584392=2591982/2605623
NewParcel 2626776 6.204813661368428,9.679676068476544 6.4751447930266455,8.18251539994702 1000 1 2630253/2643298=2654142/2667187
NewParcel 2670120 8.279203090294743,2.8158563161002013 3.604069687063488,0.5592883016268924 1000 1 2678210/2682029=2694616/2698435
NewParcel 2718560 9.939304328000073,2.0897945333700108 4.279993333255638,9.61894871019498 1000 1 2718842/2738277=2743491/2762926
NewParcel 2767331 1.926776731854396,8.60931261495178 9.768817819220992,3.184315063839139 1000 1 2775170/2779491=2799502/2803823
NewParcel 2810401 2.817032683232017,1.3708940041773243 3.05756727719676,1.8069387419955174 1000 1 2811534/2829267=2828218/2845951
NewParcel 2854328 8.64365191351826,6.324177362437461 5.72871147463148,8.837609304832776 1000 1 2864064/2864591=2880404/2880931
NewParcel 2902701 8.685515447512032,9.084520426102983 6.94447335452625,3.607821684533745 1000 1 2910256/2915145=2930206/2935095
NewParcel 2953682 7.143221965157816,2.582698793714817 9.8926856081991,9.63626721195538 1000 1 2957632/2969731=2974114/2986213
NewParcel 2999479 2.9313492707820554,3.4408005491354885 3.5457573770857964,2.274412336651764 1000 1 3005273/3013684=3027961/3036372
NewParcel 3047927 2.313122404168765,3.3633785576766915 0.08431281348971309,2.705226253288756 1000 1 3050860/3064993=3070570/3084703
NewParcel 3102665 1.6040514551783536,4.3329269288305365 0.8370660986669709,7.7091207708943745 1000 1 3109676/3115653=3128990/3134967
NewParcel 3159735 9.671102627901295,8.898737298637336 6.088494275630437,7.111164457537412 1000 1 3160857/3178612=3181569/3199324
NewParcel 3204756 2.4539628593357596,9.348205374125266 6.605869291309117,3.323633130279655 1000 1 3209999/3219512=3231462/3240975
NewParcel 3246151 4.23496101704024,2.049643616372161 7.237214703265874,9.897961479709016 1000 1 3256068/3256233=3274488/3274653
NewParcel 3296236 2.884212015720541,5.755665363724161 5.431745688895193,8.500154248114468 1000 1 3304377/3308094=3321581/3325298
NewParcel 3353303 8.806539650139019,5.156204988900775 0.034359078902609363,6.223723464243628 1000 1 3356230/3370375=3377410/3391555
NewParcel 3404171 9.816745303869265,3.470231121376636 8.205731233423654,7.654212463383873 1000 1 3409654/3418687=3433066/3442099
NewParcel 3457983 6.669785111312498,0.3652214775771767 0.8195918981942674,8.599368352830417 1000 1 3464478/3471487=3482057/3489066
NewParcel 3498383 6.472414909389217,3.993457298854035 9.188729847473763,0.8990277493015897 1000 1 3498836/3517929=3515147/3534240
NewParcel 3542514 3.7028690580952475,8.434202288992903 8.471299568719362,0.22877573473120472 1000 1 3543004/3562023=3560952/3579971
NewParcel 3601611 1.0651329878764193,0.33082680793442454 5.608986062312116,1.31144173941115 1000 1 3610311/3612910=3625485/3628084
NewParcel 3649305 4.90437294530774,1.0119434800596128 2.148594254618402,7.450497141791499 1000 1 3653684/3664925=3675204/3686445
NewParcel 3700059 2.410086445815839,2.885609981831333 4.7986213642854985,3.799410172778408 1000 1 3700231/3719886=3724429/3744084
NewParcel 3741501 0.3335339992040909,1.3956697119975259 9.072380582700587,6.281031183981574 1000 1 3745069/3757932=3769326/3782189
NewParcel 3790748 7.446015542213406,6.329286332665124 3.869231502785264,0.571058577839274 1000 1 3799464/3802031=3816992/3819559
NewParcel 3836131 5.464554751581284,8.764737594538106 7.34548602958392,8.05965957665988 1000 1 3837149/3855112=3859484/3877447
NewParcel 3882070 5.671552958198596,2.448531065645386 6.926548112544508,8.205299183245891 1000 1 3886529/3897610=3908986/3920067
NewParcel 3936172 0.9549744202163768,0.8909021849629561 8.811852084142352,9.19484577319232 1000 1 3945308/3947035=3961610/3963337
NewParcel 3983953 5.495627730440125,3.9687610600521195 4.82416114849515,1.3240119614377122 1000 1 3987907/3999998=4003695/4015786
NewParcel 4027916 6.828103104207149,0.32514522636855614 6.954788643951502,0.012196426444803787 1000 1 4034850/4040981=4055742/4061873
NewParcel 4084039 7.501930248578641,4.354245606927919 2.456304591876519,7.865786303164578 1000 1 4087150/4100927=4105505/4119282
