NewVehicle -1 3.4586490355692523,9.434988581289044 1 100
NewVehicle -1 6.2404119260174,7.177026024034513 1 100
NewVehicle -1 0.9054662394832702,1.0239061738824562 1 100
NewVehicle -1 4.122971857625268,1.4942078955943572 1 100
NewVehicle -1 8.505616170930722,4.198836458551607 1 100
NewParcel -1 4.001752320967162,8.38293972785665 4.187272395053329,4.2006953098322475 1000 1
NewParcel -1 4.102457595688852,3.2960141898779693 1.7917866874550303,8.696870824687174 1000 1
NewParcel -1 9.098877385079597,5.582467093696742 1.9916828458331515,1.1136270698089479 1000 1
NewParcel 45696 5.096891404322426,7.980544219807171 1.0570664185445666,2.1291256011460282 1000 1
NewParcel 86702 6.796910069253082,9.376663518945922 2.8347077337038673,1.362771812762189 1000 1
NewParcel 139760 5.8257790095710416,7.115575214818745 0.4044329741484054,6.8449352274861175 1000 1
NewParcel 195732 9.819310878739815,1.9910946296218157 5.300815502275228,1.151136975903564 1000 1
NewParcel 246212 7.731726436083061,4.705437741407459 0.19203681763388714,0.673083897102077 1000 1
NewParcel 287071 7.450004972482973,6.09887623411843 1.5481668918047065,3.116171146359995 1000 1
NewParcel 329396 1.829102264706508,4.043684053490856 0.7856714643843821,6.304883471743477 1000 1
NewParcel 378175 4.9686077759514635,8.633528556511989 0.40134753689033853,2.6576850616556245 1000 1
NewParcel 429080 2.087902224610537,5.476117165472036 3.347119497647546,4.513806275584818 1000 1
NewParcel 470553 4.969598868756661,0.7425415884004627 0.9286223370654567,0.3679322767663473 1000 1
NewParcel 518387 9.345155097309897,6.997985842388539 4.775410074442979,1.4930675526814585 1000 1
NewParcel 563217 5.777384475949443,1.7226322184326182 8.162024330060241,3.544431194989759 1000 1
NewParcel 611483 5.5183299255271026,0.6191980916330131 2.856504063954107,7.591473043646241 1000 1
NewParcel 655529 6.470296116435969,4.206256498656921 9.353819438815423,0.5897138409691827 1000 1
NewParcel 709862 4.839542056712045,5.099734880369628 1.4336603731507025,2.100504251798082 1000 1
NewParcel 758608 7.2154527334308485,6.236598805516058 8.957858840074385,5.670636516701213 1000 1
NewParcel 812526 4.405265866715803,5.443859574285344 6.206976383083349,0.7299013404654997 1000 1
NewParcel 867204 5.30834609278167,4.868842134546297 7.089916100799048,8.306993097848759 1000 1
NewParcel 921687 5.767752080201637,4.477671865110676 6.080634175069233,8.654157975999263 1000 1
NewParcel 976931 5.656385865565569,6.360064899276895 7.61396341429996,4.5321599050972905 1000 1
NewParcel 1024642 6.1849541824873535,5.28917869898943 1.5599757721326035,7.29375957897251 1000 1
NewParcel 1070718 8.126096295465954,6.430861471925073 3.3093715884208796,2.1459302284966606 1000 1
NewParcel 1118101 6.88023973709231,0.6837566018736407 2.5987051480218337,6.619289567301366 1000 1
NewParcel 1161500 8.902092604771351,5.35226735576371 1.4163319484366588,2.371292471980108 1000 1
NewParcel 1213659 3.9075264861495427,7.032275078169093 1.3315225053408575,3.0716364102532556 1000 1
NewParcel 1256715 4.0265045614750825,2.3665579329700446 9.883821850731723,7.223714748368769 1000 1
NewParcel 1314595 8.41899556946598,1.9271621562902919 6.402866932117578,2.0465371133278207 1000 1
NewParcel 1358938 7.875570904176865,1.1059736254600316 4.037778299981389,5.175760197893638 1000 1
NewParcel 1414812 9.019720860947176,4.407423935324047 2.0029299035410686,1.1970382067990881 1000 1
