NewDepot -1 5.0,5.0 5
NewVehicle -1 7.143711324874791,4.805139699287093 1 100
NewVehicle -1 7.272728618165147,0.9045141480599905 1 100
NewVehicle -1 8.610299774320815,6.458354857715064 1 100
NewVehicle -1 9.579248544163491,9.79372479866112 1 100
NewVehicle -1 5.442211009969084,7.409961095786083 1 100
NewParcel -1 2.510777063215567,4.056059680809378 9.431980153723545,2.3758175917658955 1000 1
NewParcel -1 2.4905160609642873,7.912974094265732 6.2428618467926835,2.0648914222103674 1000 1
NewParcel -1 2.9464116912558733,7.1944469228946994 4.563253687458589,1.596790726038928 1000 1
NewParcel 47821 4.567699557076217,7.514168721093522 3.286983378665557,1.5020965929466934 1000 1
NewParcel 105067 4.518064459881218,8.95381280020695 2.999375500224156,2.486837409098065 1000 1
NewParcel 156417 4.879944623699392,5.97109135032982 0.753627641062039,4.8443663982305125 1000 1
NewParcel 203120 7.968004110315453,4.502140093522701 2.0867153228460342,8.304736638983146 1000 1
NewParcel 256451 2.8879039031749256,0.9088304409934855 9.015356560276649,9.021209886984332 1000 1
NewParcel 309256 0.8265378671304924,5.01562826436261 2.0011540814408555,1.2645286628409125 1000 1
NewParcel 351602 7.438534391552841,6.749590028135461 6.597777925399396,7.789506384011292 1000 1
NewParcel 405328 2.6776071844300375,6.082387483683304 0.25257561671597983,5.391605139631651 1000 1
NewParcel 461113 3.5608145878508046,3.6497970220910956 1.1663266826107066,7.626943699140373 1000 1
NewParcel 516585 5.541031410481746,6.833406157861697 2.883883811599616,4.537323721423851 1000 1
NewParcel 568035 9.553302299157659,7.3858242480822796 6.987704472221665,3.6997256138745627 1000 1
NewParcel 626200 2.093955734696026,1.4870947200237827 6.283842255493653,2.1760014806392336 1000 1
NewParcel 672321 6.299877520547762,5.790469144496104 6.098980404138357,0.18324117060384726 1000 1
NewParcel 717802 7.327408024442677,1.3963083067936233 1.5477301176161018,2.0600150573325693 1000 1
NewParcel 762496 4.225957277484827,0.48059284140946845 1.3473772302145448,4.39833017556183 1000 1
NewParcel 805591 0.17354250028986828,9.918973589734364 2.175118829159005,8.246644713735563 1000 1
NewParcel 853192 3.5858224147473305,4.441605756763164 3.8735978113786187,6.417895419117948 1000 1
NewParcel 909137 1.160984435770811,8.104251433874147 8.614765291728673,3.6231231528272643 1000 1
NewParcel 959667 8.242567581999982,0.885307704226741 5.012704202729844,9.89319633279081 1000 1
NewParcel 1017944 1.9881713499056342,2.7897305139356954 6.637411875502942,5.744509098515475 1000 1
NewParcel 1066319 3.5721875924394686,1.371161909161347 1.191953257363808,3.199717774186226 1000 1
NewParcel 1115223 5.557535460508506,8.76682022285009 0.9042290043492351,9.994099447623864 1000 1
NewParcel 1160420 4.43036289262949,4.45597298830384 7.958731871151626,0.7438234003581123 1000 1
NewParcel 1215727 6.277736954170545,6.247975285779174 6.348975819502182,2.241060395158784 1000 1
NewParcel 1266957 7.633724098925471,3.8728722423049753 5.549250039700986,3.8194681753119495 1000 1
NewParcel 1308400 1.8892676997445512,4.048492290496034 2.3342184354656395,5.2988944977773755 1000 1
NewParcel 1363624 5.527172193195076,4.478527849638532 7.716539146891643,5.956353782373476 1000 1
NewParcel 1410435 9.554066226883377,7.296539148759177 2.985891692850821,6.606689641312638 1000 1
NewParcel 1451524 7.866817739513249,7.769855270557949 9.212496477149845,4.735549037697243 1000 1
NewParcel 1510508 1.1071130464847212,7.758187960995401 9.94713765905879,4.219436941035166 1000 1
NewParcel 1559255 0.40720873659850665,7.761712325834181 6.232324169638021,6.825559171514119 1000 1
NewParcel 1602252 9.113311904148055,1.1911612203383404 5.0939653551183905,6.99196470081246 1000 1
NewParcel 1656091 1.7358428179566832,4.319898281185064 1.1811439604971519,5.0520977634676 1000 1
NewParcel 1708361 6.40358535374949,2.7346711501705845 2.8753736489685866,4.892339161402429 1000 1
NewParcel 1762720 8.572932276917072,9.82524692779656 5.743452994192122,0.9806971849478119 1000 1
NewParcel 1817528 5.058513968542385,0.9472609871218607 8.013917351825429,0.8353355151073305 1000 1
NewParcel 1863670 2.006618014746225,7.251977787254495 8.889328509893076,7.366261781438253 1000 1
NewParcel 1915766 5.125828360771008,8.495339482480958 0.7453028956833341,4.966413277342859 1000 1
NewParcel 1972183 8.051233196010992,2.605265357282458 3.1310050260415068,6.292520576853299 1000 1
NewParcel 2029217 0.7406010371070049,1.978786250365604 0.7847322019254122,1.6644424381809642 1000 1
NewParcel 2084382 0.11790711523611441,2.188959484506867 9.07506764027332,8.553074030402701 1000 1
NewParcel 2135820 9.586378752431136,1.29446524397694 3.2618843739030656,3.9113377502627547 1000 1
NewParcel 2184810 5.123198981698281,8.655575852019288 5.655612721789591,1.2616188549476615 1000 1
NewParcel 2241741 6.895229924378564,6.152886493696067 6.225423863513777,6.374195892012163 1000 1
NewParcel 2301229 0.2141677649583673,8.299310977297408 8.97028343954428,5.550490299781381 1000 1
NewParcel 2359685 4.319556261404889,1.777956054311457 4.5227182670706645,9.367091964146496 1000 1
NewParcel 2406778 1.67023700173074,2.9424683428936227 3.4931612073686678,7.033663562080225 1000 1
NewParcel 2460994 7.184512052185025,9.866433530299641 9.23336249152678,9.643306878188746 1000 1
NewParcel 2508964 9.197521102961975,1.171052987509209 4.756534905625455,4.263790290244819 1000 1
NewParcel 2564667 6.794284188719864,4.025226810928864 3.9796111514968633,9.083533330290429 1000 1
NewParcel 2618049 7.335348497472976,7.012424432496761 6.059179037975402,6.275013067724917 1000 1
NewParcel 2664847 1.8468128045555998,0.13516689735612486 8.737700590151604,9.19196980159297 1000 1
NewParcel 2716789 5.354178804443324,6.614065723667643 4.084863563454936,9.327686274980408 1000 1
NewParcel 2767699 9.619534444286973,2.434783461411336 0.89730903812967,2.821760860517122 1000 1
NewParcel 2808874 9.176857523811984,0.5562315786163807 9.745515669991086,5.792528180479747 1000 1
NewParcel 2862020 1.7144495180573383,1.1335213323053317 0.7093295072727379,6.6869085073146515 1000 1
NewParcel 2919869 4.3703292018812565,7.372254777219195 3.3741669691721765,8.64611773989706 1000 1
NewParcel 2972713 4.866480747366325,9.63864265885854 0.6532139722183805,0.47367344269580225 1000 1
NewParcel 3013157 1.0329196253120132,2.1996368889138997 4.390166422945548,2.994341638324989 1000 1
NewParcel 3060093 6.97825481009687,1.1329438464424857 3.154179487715437,4.266012624618375 1000 1
NewParcel 3112418 6.8747510473806575,8.564975014827017 8.581031744209312,9.373861647149903 1000 1
NewParcel 3164461 5.281836597264262,9.4217170145883 9.278534453939972,3.6033972473933416 1000 1
NewParcel 3206835 8.418648544434134,4.719824339954847 4.56087535513225,1.063708684099115 1000 1
NewParcel 3259261 3.7596161683585114,6.358786669878156 9.10458008480001,5.883315294974763 1000 1
NewParcel 3318922 6.030189892787718,3.077500422721334 0.17497590253033213,1.310717704934028 1000 1
NewParcel 3369490 2.8797423841399086,3.4758234174859224 7.260463078697632,7.624023303917175 1000 1
NewParcel 3419616 2.44371355041199,9.81863117956076 9.55540550961005,4.0559645431418465 1000 1
NewParcel 3469607 6.794735401439395,3.9206166299378875 0.2737728559123098,5.966064736493797 1000 1
NewParcel 3522360 7.142793080985115,5.083215413834166 9.156561840163825,9.54817512957225 1000 1
NewParcel 3569851 2.6749580953753727,9.733974056282147 4.8066120501409735,0.8953582414923789 1000 1
NewParcel 3628448 7.96677908042853,4.077569624843008 2.9061375048341165,1.0289984820510978 1000 1
NewParcel 3678747 8.342502188187535,0.6680594733660672 2.2515754361406515,5.22917108148397 1000 1
NewParcel 3731600 3.7686717999181027,8.40560109860872 1.1218594114905134,0.6401068195566351 1000 1
NewParcel 3779044 8.158008673079905,3.0091376198986017 8.517083195133404,5.163162950966021 1000 1
NewParcel 3823357 6.994169185051011,0.7763507313004636 8.123920584418974,7.780549617060356 1000 1
NewParcel 3876205 1.7965083514281843,8.584051269499 1.8945706234877657,4.908318833588742 1000 1
NewParcel 3917010 6.368919900578217,6.5159704318210885 9.60525601792511,5.563176374000655 1000 1
NewParcel 3975346 5.51332147121056,5.702665915200658 3.716183244301222,8.957612238441431 1000 1
NewParcel 4023313 8.18366143698608,1.8757564789751946 2.425866030409866,5.791017982201972 1000 1
NewParcel 4073209 3.41337401904621,0.1496402091463811 8.902098902638716,6.151548861948923 1000 1
NewParcel 4116140 0.1991823344015642,2.6133074254813646 8.223619237023303,8.289283873988012 1000 1
NewParcel 4157385 5.544281101849705,7.451099229409145 7.564942468392659,1.828480832749827 1000 1
NewParcel 4214098 7.230323164139277,0.6473413643434178 4.264035919506471,0.5583739058303894 1000 1
NewParcel 4264381 7.06369727951196,8.999252364828777 6.469711406350833,0.8501372975126598 1000 1
NewParcel 4312747 8.817141704148128,1.4454476777695802 3.4983434496924515,0.9115198907280542 1000 1
NewParcel 4363244 5.794521001532949,7.7460811491855655 5.507228904397467,2.6168224887275193 1000 1
NewParcel 4404207 0.8898237777823526,8.17658577090577 3.6067538239791332,5.662142906504336 1000 1
NewParcel 4463423 4.968578270127263,2.1325896991230273 0.3746419870733808,3.793107434047748 1000 1
NewParcel 4504776 8.351042888460503,9.306233390586542 6.6478173311392705,4.946733358433418 1000 1
NewParcel 4559877 0.4426646474958884,4.790624865601927 7.596397741284461,9.347675640149479 1000 1
NewParcel 4611138 9.435672106907505,6.27276847820368 6.121519022265956,4.606329886716569 1000 1
NewParcel 4670947 2.003810132782445,9.95910371096651 1.873237440942409,3.6957284564501958 1000 1
NewParcel 4722837 5.494654551972785,4.981163779942396 3.1213718063991926,3.681961908526137 1000 1
NewParcel 4766822 2.1981111854222988,7.145994039067164 1.806048247145603,1.775595884467922 1000 1
NewParcel 4821543 8.450338063661247,5.1879599570660915 3.668279490354267,9.76654102173281 1000 1
NewParcel 4881531 2.3354706986802256,9.523250067251984 7.378183181884024,2.3808697496710884 1000 1
NewParcel 4922639 9.07882326720941,2.314453990053357 3.1867810136464394,2.238617640736046 1000 1
NewParcel 4969477 8.638360693098715,2.0769713581931972 8.547610199929327,0.12457969499712451 1000 1
NewParcel 5017041 1.0162443647162944,6.979183492989969 3.834080250604895,6.604447870569433 1000 1
NewParcel 5071377 4.8947862459962765,4.393493578091778 7.033749045956057,7.183100474685941 1000 1
